block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W06-B181,W06,Ward 6,28540.406072470927,2.8540406072470925,10000,185.40406072470924,above_preferred,0
W06-B182,W06,Ward 6,28368.643498502537,2.836864349850254,10000,183.6864349850254,above_preferred,40
W06-B183,W06,Ward 6,28356.702398139132,2.835670239813913,10000,183.56702398139132,above_preferred,22
W06-B184,W06,Ward 6,28224.285777768917,2.8224285777768916,10000,182.24285777768915,above_preferred,22
W06-B185,W06,Ward 6,28220.596218144856,2.8220596218144856,10000,182.20596218144857,above_preferred,9
W06-B186,W06,Ward 6,28137.833940772234,2.813783394077223,10000,181.3783394077223,above_preferred,32
W06-B187,W06,Ward 6,28115.828793840097,2.8115828793840096,10000,181.15828793840097,above_preferred,18
W06-B188,W06,Ward 6,28054.44885233093,2.805444885233093,10000,180.5444885233093,above_preferred,10
W06-B189,W06,Ward 6,27934.47577910181,2.793447577910181,10000,179.3447577910181,above_preferred,3
W06-B190,W06,Ward 6,27934.47577910181,2.793447577910181,10000,179.3447577910181,above_preferred,2
W06-B191,W06,Ward 6,27922.739316394785,2.7922739316394787,10000,179.22739316394788,above_preferred,12
W06-B192,W06,Ward 6,27868.90503177723,2.786890503177723,10000,178.6890503177723,above_preferred,9
W06-B193,W06,Ward 6,27859.42361629585,2.7859423616295853,10000,178.59423616295854,above_preferred,4
W06-B194,W06,Ward 6,27664.396794590928,2.7664396794590926,10000,176.64396794590925,above_preferred,19
W06-B195,W06,Ward 6,27487.720564473937,2.7487720564473936,10000,174.87720564473938,above_preferred,0
W06-B196,W06,Ward 6,27468.304514450872,2.746830451445087,10000,174.68304514450872,above_preferred,0
W06-B197,W06,Ward 6,27282.113117361765,2.7282113117361764,10000,172.82113117361763,above_preferred,8
W06-B198,W06,Ward 6,27282.113117361765,2.7282113117361764,10000,172.82113117361763,above_preferred,14
W06-B199,W06,Ward 6,27282.113117361765,2.7282113117361764,10000,172.82113117361763,above_preferred,13
W06-B200,W06,Ward 6,27282.113117361765,2.7282113117361764,10000,172.82113117361763,above_preferred,12
W06-B201,W06,Ward 6,27282.113117361765,2.7282113117361764,10000,172.82113117361763,above_preferred,4
W06-B202,W06,Ward 6,27282.11311736177,2.728211311736177,10000,172.8211311736177,above_preferred,4
W06-B203,W06,Ward 6,27282.113117345427,2.7282113117345426,10000,172.82113117345426,above_preferred,1
W06-B204,W06,Ward 6,27282.113117345427,2.7282113117345426,10000,172.82113117345426,above_preferred,4
W06-B205,W06,Ward 6,27277.41431975589,2.727741431975589,10000,172.7741431975589,above_preferred,4
W06-B206,W06,Ward 6,27277.414319747546,2.7277414319747546,10000,172.77414319747547,above_preferred,5
W06-B207,W06,Ward 6,27277.414319747546,2.7277414319747546,10000,172.77414319747547,above_preferred,6
W06-B208,W06,Ward 6,27277.414319747546,2.7277414319747546,10000,172.77414319747547,above_preferred,16
W06-B209,W06,Ward 6,27277.414319747546,2.7277414319747546,10000,172.77414319747547,above_preferred,3
W06-B210,W06,Ward 6,27211.477804587812,2.7211477804587814,10000,172.11477804587813,above_preferred,18
W06-B211,W06,Ward 6,27170.745587792553,2.7170745587792555,10000,171.70745587792555,above_preferred,31
W06-B212,W06,Ward 6,26818.472879215195,2.6818472879215194,10000,168.18472879215193,above_preferred,52
W06-B213,W06,Ward 6,26654.855507832533,2.6654855507832536,10000,166.54855507832536,above_preferred,12
W06-B214,W06,Ward 6,26330.154351805053,2.6330154351805053,10000,163.30154351805052,above_preferred,10
W06-B215,W06,Ward 6,26294.79034852484,2.629479034852484,10000,162.9479034852484,above_preferred,40
W06-B216,W06,Ward 6,26217.42327979309,2.621742327979309,10000,162.17423279793087,above_preferred,10
W06-B217,W06,Ward 6,26078.296522820892,2.6078296522820894,10000,160.78296522820895,above_preferred,3
W06-B218,W06,Ward 6,26053.6692649041,2.60536692649041,10000,160.536692649041,above_preferred,11
W06-B219,W06,Ward 6,25976.351798577944,2.5976351798577944,10000,159.76351798577943,above_preferred,29
W06-B220,W06,Ward 6,25886.37366546485,2.588637366546485,10000,158.8637366546485,above_preferred,8
W06-B221,W06,Ward 6,25886.37366546485,2.588637366546485,10000,158.8637366546485,above_preferred,16
W06-B222,W06,Ward 6,25860.460771633745,2.5860460771633744,10000,158.60460771633745,above_preferred,60
W06-B223,W06,Ward 6,25690.584010895054,2.5690584010895052,10000,156.9058401089505,above_preferred,17
W06-B224,W06,Ward 6,25652.364316076848,2.5652364316076848,10000,156.52364316076847,above_preferred,28
W06-B225,W06,Ward 6,25394.97798100896,2.539497798100896,10000,153.94977981008958,above_preferred,1
W06-B226,W06,Ward 6,25394.97798100896,2.539497798100896,10000,153.94977981008958,above_preferred,0
W06-B227,W06,Ward 6,25394.97798100896,2.539497798100896,10000,153.94977981008958,above_preferred,11
W06-B228,W06,Ward 6,25394.97798100896,2.539497798100896,10000,153.94977981008958,above_preferred,3
W06-B229,W06,Ward 6,25382.09101531131,2.538209101531131,10000,153.82091015311312,above_preferred,30
W06-B230,W06,Ward 6,25321.713748693197,2.5321713748693195,10000,153.21713748693196,above_preferred,2
W06-B231,W06,Ward 6,25321.713748693197,2.5321713748693195,10000,153.21713748693196,above_preferred,0
W06-B232,W06,Ward 6,25193.703661691052,2.519370366169105,10000,151.93703661691052,above_preferred,18
W06-B233,W06,Ward 6,25137.884688228394,2.5137884688228396,10000,151.37884688228397,above_preferred,22
W06-B234,W06,Ward 6,25097.969637697985,2.5097969637697983,10000,150.97969637697983,above_preferred,12
W06-B235,W06,Ward 6,25092.226541401273,2.5092226541401272,10000,150.9222654140127,above_preferred,28
W06-B236,W06,Ward 6,25073.14811961002,2.507314811961002,10000,150.7314811961002,above_preferred,9
W06-B237,W06,Ward 6,25013.44112901389,2.5013441129013887,10000,150.13441129013887,above_preferred,20
W06-B238,W06,Ward 6,24802.196730737283,2.4802196730737283,10000,148.02196730737282,above_preferred,34
W06-B239,W06,Ward 6,24745.911023428525,2.4745911023428526,10000,147.45911023428528,above_preferred,21
W06-B240,W06,Ward 6,24549.672887778634,2.4549672887778633,10000,145.49672887778632,above_preferred,7
W06-B241,W06,Ward 6,24534.049954838014,2.4534049954838015,10000,145.34049954838017,above_preferred,47
W06-B242,W06,Ward 6,24528.955874353644,2.452895587435364,10000,145.28955874353642,above_preferred,35
W06-B243,W06,Ward 6,24471.52312163045,2.4471523121630447,10000,144.71523121630446,above_preferred,29
W06-B244,W06,Ward 6,24401.435757665153,2.4401435757665153,10000,144.01435757665152,above_preferred,1
W06-B245,W06,Ward 6,24401.435757665153,2.4401435757665153,10000,144.01435757665152,above_preferred,5
