full_id,osm_id,osm_type,building,reg_id,ownership,addr:subdistrict,addr:district,addr:county,military,official_name,tower:type,healthcare,generator:source,trade,nurses_num,electricity,doctors_num,operator_name,emergency,dispensing,bed_count,product,industrial,operational_status,drinking_water,shop,layer,power,public_transport,tourism,denomination,pump,man_made,waste,construction,service_times,religion,capacity,toilets:handwashing,toilets:disposal,toilets:access,fee,phone,operator,opening_hours,brand:wikidata,brand,addr:state,description,amenity,office,name,addr:street,type,building:material,building:levels,addr:city,Building_Code,Ward_Code,Block_Code,Building_Area_m2,Building_Source,AI_Confidence,Boundary_Flag
w310788173,310788173,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B026-BLD0007,W07,W07-B026,126.32088191903244,OSM existing,,False
w310788175,310788175,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B026-BLD0008,W07,W07-B026,41.194885673257744,OSM existing,,False
w310788176,310788176,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B086-BLD0008,W07,W07-B086,72.56075519203897,OSM existing,,False
w310788177,310788177,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B086-BLD0009,W07,W07-B086,66.71598131912089,OSM existing,,False
w310788180,310788180,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B086-BLD0010,W07,W07-B086,103.68290725725717,OSM existing,,False
w310788181,310788181,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B086-BLD0011,W07,W07-B086,120.13180301627074,OSM existing,,False
w310788184,310788184,way,commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B086-BLD0012,W07,W07-B086,391.8789827735045,OSM existing,,False
w310788187,310788187,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B139-BLD0004,W07,W07-B139,200.81039042984673,OSM existing,,False
w310788188,310788188,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B139-BLD0005,W07,W07-B139,207.50538805557693,OSM existing,,False
w310788189,310788189,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B139-BLD0006,W07,W07-B139,62.3927914097294,OSM existing,,False
w310788190,310788190,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B139-BLD0007,W07,W07-B139,119.71718518216584,OSM existing,,False
